video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description 
QTxga6nwUTg,,MNEK - Tongue (Official Video),MNEKVEVO,,2018-03-09T12:00:04Z,,,,,,,,,,Follow MNEK: Stream/Play MNEK Here: https://MNEK.lnk.to/Play Facebook: https://www.facebook.com/MNEKOfficial Instagam: https://www.instagram.com/mnek ...
CzJRXLnLRnA,,MNEK - Tongue (Jarreau Vandal Remix),MNEKVEVO,,2018-04-20T12:00:03Z,,,,,,,,,,Follow MNEK: Stream/Play MNEK Here: https://MNEK.lnk.to/Play Facebook: https://www.facebook.com/MNEKOfficial Instagam: https://www.instagram.com/mnek ...
eKFrZNXB29M,,Quick D: Invisible Box Challenge,CaptainDisillusion,,2018-01-31T20:01:19Z,,,,,,,,,,Captain Disillusion gets on the last train out of meme town and performs his own version of the invisible box challenge.
Hy6vddbQa8Q,,Quick D: Dancing Phantoms,CaptainDisillusion,,2018-04-06T22:00:11Z,,,,,,,,,,Captain Disillusion takes a close look at a piece of Art. ---------- Kiyan Forootan on Instagram: https://www.instagram.com/kiyanforootan/ IMAGE/VIDEO CREDITS: ...
-NPmBkYb_mY,,Quick D: A Fighter Jet Says Hi,CaptainDisillusion,,2018-05-10T19:00:00Z,,,,,,,,,,"Captain Disillusion deconstructs an aeronautical viral video, with a little help. SPECIAL THANKS TO: Tara Sandlin Joey Guerra J. Matthew Turner James Turner, ..."
aO3JgPUJ6iQ,,Chinese Invisibility Cloak Hoax DESTROYED!!!,CaptainDisillusion,,2018-03-16T19:17:23Z,,,,,,,,,,"The Captain attempts to rebrand himself... with mixed results. ----- Educational YouTube channels parodied in this video, which do things much better than me: ..."
U5EDORs8Jkk,,Gateway to Sedona DEBUNK,CaptainDisillusion,,2018-01-07T20:00:08Z,,,,,,,,,,"Captain Disillusion deconstructs the portal video and explains the concept known (only to himself) as the ""piecemeal paranormal"". Creators discussed: ..."
GqfWm6z84t0,,The Unbearable Loneliness of Being Right on the Internet - Live at Skepticon Australia 2017,CaptainDisillusion,,2017-11-30T20:00:03Z,,,,,,,,,,Captain Disillusion creator Alan Melikdjanian frantically lectures a skeptical audience on how to never make any mistakes as a YouTuber. Recorded at City ...
oPM3jxnoqhk,,Jennifer Hudson - Burden Down,jenniferhudsonVEVO,,2017-12-12T15:00:03Z,,,,,,,,,,"Lyrics: When I lay this burden down Who's gonna take it up for me? When you run me in the ground That's the day you're gonna see For all I've done, I'm alone ..."
CwKp6Xhy3_4,,Chris Young - Hangin&#39; On (Official Video),ChrisYoungVEVO,,2018-02-26T08:00:02Z,,,,,,,,,,"Check out the official music video for ""Hangin' On"" by Chris Young Chris Young's ""Hangin' On"" from his #1 album Losing Sleep available now."
