video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
2Fdx4TcQFe8,state champs coystal bark state champs not anoor crystal ball aroun,state champ bark crystal ball,"[""[[9, 69], [36, 78]]"", ""[[37, 69], [72, 78]]"", ""[[73, 50], [88, 57]]"", ""[[12, 153], [49, 162]]"", ""[[50, 153], [72, 162]]""]"
2HboMs0vbsE,mint mnet,mint,"[""[[408, 61], [464, 80]]""]"
2MiQonPvlVM,4f milly i 2 jyp official,official,"[""[[74, 260], [197, 301]]""]"
2MxAwOC_o5w,roosevelt hotel theart atshow james corden,hotel,"[""[[430, 126], [462, 134]]""]"
2NlNEj2mCIg,official cte8m music,official music,"[""[[9, 56], [146, 86]]"", ""[[194, 69], [232, 81]]""]"
2Nlo2ekTRvI,everything vinoce with wrong cars 3,everything wrong car,"[""[[270, 48], [426, 94]]"", ""[[263, 92], [366, 142]]"", ""[[106, 186], [305, 287]]""]"
2PH7dK6SLC8,mayer john ohnimaye e1 vav to vevo,,[]
2S2qtGisT34,gnn,,[]
2SJ0hgdciNE,didd,,[]
2TQAP-uAN9I,fox nill engins rams 31 28 amoun,fox ram,"[""[[44, 230], [64, 241]]"", ""[[66, 248], [85, 253]]""]"
2UmRhLA3Qzk,nintendo labo make play discover,make play discover,"[""[[122, 238], [173, 252]]"", ""[[192, 237], [244, 254]]"", ""[[262, 238], [356, 253]]""]"
2VggEmXPnGw,great big story,great big story,"[""[[69, 264], [169, 293]]"", ""[[172, 264], [228, 293]]"", ""[[230, 264], [329, 294]]""]"
2WHcBwq2wHc,standard charts salah mo prank,standard chart prank,"[""[[366, 156], [415, 173]]"", ""[[366, 172], [398, 182]]"", ""[[134, 250], [341, 310]]""]"
2XPF3Snm9JE,episode 139 were when cwo the half ramer in the bag deathcure,episode half bag,"[""[[316, 52], [425, 77]]"", ""[[32, 225], [120, 254]]"", ""[[51, 260], [136, 304]]""]"
2YVMusIxisY,woollim ent official,official,"[""[[361, 285], [465, 310]]""]"
2Yb_VA4L3YU,kivu,kivu,"[""[[32, 294], [56, 302]]""]"
2afSbqlp5HU,bbc news,news,"[""[[29, 237], [94, 257]]""]"
2b5szHlQI_A,new frend show injebuddenpodcast,new show,"[""[[183, 46], [287, 103]]"", ""[[368, 258], [440, 282]]""]"
2dls8iCoQTI,uphal,,[]
2h_TxIxx-Kg,diddysking combs bovtiv,comb,"[""[[217, 244], [345, 294]]""]"
2kCbFmjEi6A,vevo,,[]
2kpJ4GbVvNc,trailer hd,trailer,"[""[[10, 210], [182, 242]]""]"
2lCW-iaOZ_M,the nerd crew pop culture podcast a star so jee d i e a wars merry movie review spoilershi warning,crew pop culture star war merry movie review warn,"[""[[300, 50], [440, 86]]"", ""[[356, 85], [378, 96]]"", ""[[380, 86], [422, 96]]"", ""[[137, 93], [354, 144]]"", ""[[135, 161], [358, 213]]"", ""[[57, 181], [110, 201]]"", ""[[89, 222], [221, 264]]"", ""[[234, 222], [390, 265]]"", ""[[12, 265], [221, 306]]""]"
2mrOcJNPxEc,today,today,"[""[[21, 276], [132, 302]]""]"
2nJ3U5dzvPs,finally its christmas,finally,"[""[[136, 111], [288, 187]]""]"
2nUW3nIOOOg,ve,,[]
2nshBD9EbxE,how to make a wooden katana,make wooden,"[""[[170, 253], [225, 273]]"", ""[[81, 278], [242, 310]]""]"
2pJlpCfueV0,lmfao when brother orders bong your a and him mom s wants to it your see open,brother order bong want see open,"[""[[226, 318], [291, 338]]"", ""[[292, 319], [349, 337]]"", ""[[367, 319], [416, 342]]"", ""[[206, 342], [257, 357]]"", ""[[281, 344], [314, 357]]"", ""[[354, 344], [398, 360]]""]"
2pVHOaT9CZ4,wit red,wit red,"[""[[9, 265], [70, 301]]"", ""[[76, 266], [173, 300]]""]"
2vPw8QbzFTo,what do hearize you yanny laurel voize jimmy kinmel livei,laurel jimmy,"[""[[248, 132], [286, 145]]"", ""[[41, 206], [105, 230]]""]"
31OMf1H5Rk0,vevo,,[]
34cHO5_LX9g,8,,[]
34yQnVJDTt8,ellatorif2 yibc live un jurunwull hbellatorwop network rampa millec son vs lite paramount sat st netw a apage innen bellator ount mma scott sluoner coker mma,live network son lite paramount sat coker,"[""[[145, 46], [205, 65]]"", ""[[276, 60], [342, 69]]"", ""[[324, 108], [346, 121]]"", ""[[202, 110], [254, 136]]"", ""[[422, 112], [481, 128]]"", ""[[309, 124], [332, 136]]"", ""[[392, 237], [428, 250]]""]"
36DAv_m8Mlw,k m n e a o hailee feat steinfel in colvr vevo,feat,"[""[[156, 132], [192, 149]]""]"
