video_id,thumbnail_link,region,mean_r,mean_g,mean_b,std_r,std_g,std_b,entropy,thumb_ocr_text,clean_thumb_ocr_text
lo5ERI5nPbM,https://i.ytimg.com/vi/lo5ERI5nPbM/default.jpg,GB,22.735914351851854,33.02342592592593,20.90868055555556,40.10474095657603,38.85001721750753,32.20054050646761,5.028637256606123," 
",
Ja_GMU7-sjs,https://i.ytimg.com/vi/Ja_GMU7-sjs/default.jpg,GB,116.27921296296296,110.69410879629628,106.99977430555556,85.2315053568282,81.82967147845872,83.5749478938102,6.7794541883108765," 
",
_6ViZ13mN9I,https://i.ytimg.com/vi/_6ViZ13mN9I/default.jpg,GB,79.09131944444445,69.06711226851851,60.7650462962963,82.71532740435833,78.34695724832346,69.10728420090612,6.6871776661796485," 
",
F62QpaPWXDI,https://i.ytimg.com/vi/F62QpaPWXDI/default.jpg,GB,101.25751157407409,83.28854166666666,78.60179976851852,85.42351257284572,71.48645718477731,66.41250131752413,6.814133678977468," 
",
g5c1bk8weaQ,https://i.ytimg.com/vi/g5c1bk8weaQ/default.jpg,GB,122.05248842592592,105.30438657407409,94.04720486111113,84.99163050879099,75.89725182720977,71.89273919381844,6.652875099713231," 
",
3qYt_fXdaXY,https://i.ytimg.com/vi/3qYt_fXdaXY/default.jpg,GB,86.14268518518519,54.59223958333333,43.519444444444446,51.59566009790619,43.88337973905795,38.78074905045322,7.071616325693761," 
",
Y5MqpKlKiSM,https://i.ytimg.com/vi/Y5MqpKlKiSM/default.jpg,GB,129.07917824074073,113.18485532407408,106.30644675925926,95.14537319805818,89.16396861727075,87.69834729443127,6.709779082072355," 
",
xg9ebVTL9yE,https://i.ytimg.com/vi/xg9ebVTL9yE/default.jpg,GB,,,,,,,,,
J_QGZspO4gg,https://i.ytimg.com/vi/J_QGZspO4gg/default.jpg,GB,108.57601273148148,62.09087384259259,61.258541666666666,104.35241504305466,77.9437415083882,73.34602854887207,6.325458798098911," 
",
cUtYh_ZUjqc,https://i.ytimg.com/vi/cUtYh_ZUjqc/default.jpg,GB,87.13283564814814,78.26017939814815,77.93451967592593,78.9735448880869,69.04993913740327,70.000756199986,6.687286404286939," 
",
E7ykb1geOoU,https://i.ytimg.com/vi/E7ykb1geOoU/default.jpg,GB,112.67794560185185,97.91366898148148,98.00921875,80.67135282358504,74.54055710437811,74.33923254161044,6.745861183065699," 
",
pHE8nIB6j2U,https://i.ytimg.com/vi/pHE8nIB6j2U/default.jpg,GB,54.09992476851852,30.83316550925926,19.689409722222223,78.86215138639615,66.15037973559296,52.64073358426219,4.4063486331408335," 
",
dwkNG9qeYIY,https://i.ytimg.com/vi/dwkNG9qeYIY/default.jpg,GB,91.80912037037037,87.27675925925926,83.59737268518519,74.14525338611755,69.88868340913542,66.91232272843402,6.803212201337366," 
",
z7VBtM7clT4,https://i.ytimg.com/vi/z7VBtM7clT4/default.jpg,GB,49.33412615740741,45.98368055555556,42.39372106481481,70.75622181610723,60.91994937092785,54.05727030943914,6.121374538360549," 
",
7fm7mll2qvg,https://i.ytimg.com/vi/7fm7mll2qvg/default.jpg,GB,146.76935185185187,159.4459664351852,157.72572337962964,90.261024298746,97.38176923081042,96.27510830706775,4.648745382529394," 

my
“MBO

 
",
QFfEtKvXMAs,https://i.ytimg.com/vi/QFfEtKvXMAs/default.jpg,GB,31.894733796296297,28.548506944444444,25.45942708333333,46.64644286530359,41.95349355669598,38.896910398640784,4.719503757304387," 
",
6RyOsIseJbk,https://i.ytimg.com/vi/6RyOsIseJbk/default.jpg,GB,80.08438078703703,74.02612847222223,61.80190972222222,80.32806613971987,75.67077980098729,63.20878970441085,6.742972020217465," 
",
qEEtzzi1EII,https://i.ytimg.com/vi/qEEtzzi1EII/default.jpg,GB,148.1910011574074,144.4888425925926,142.15370949074074,104.84871748888054,103.14752729511449,102.82436021086582,6.019671100179505," 

 

 

 

 

 

 
",
rL4WkebTT_U,https://i.ytimg.com/vi/rL4WkebTT_U/default.jpg,GB,95.71923611111112,108.48388310185184,111.6888599537037,92.9410204897852,89.71058207678138,95.6608573704247,6.769283742177573," 
",
8l_e6bx8UG8,https://i.ytimg.com/vi/8l_e6bx8UG8/default.jpg,GB,146.86269675925925,143.8208622685185,143.25282407407408,108.68233346990844,109.85347037083284,110.38725417011356,4.569075353830234," 
",
N8U2EPiEbZo,https://i.ytimg.com/vi/N8U2EPiEbZo/default.jpg,GB,104.29991319444444,94.18905671296297,89.57089699074074,87.95400359094978,82.61331964510902,82.1366915348865,6.73794896269781," 
",
iNsTzqwwioY,https://i.ytimg.com/vi/iNsTzqwwioY/default.jpg,GB,57.66420717592592,117.87343171296295,138.59915509259258,83.90710349838498,81.78273812229305,90.29792244507937,6.053278806890973,"ARE PERSONALITY
LESTS FAKE?

cyves SS [No
",personality fake
