video_id,category_id
G5V0rsKkMDo,10.0
NgVF0DMX3d4,24.0
mHL8xhktzDc,10.0
gvYVO6vWm2Y,22.0
ebzooSdAbGE,25.0
ibI5-k5sin8,24.0
T3E6AKDbI2Y,10.0
3a3vMfOCb3Q,17.0
u_OO9taOvG8,10.0
TPQqpxfm6BI,24.0
OXf9D91wrIQ,17.0
jNStfcyNrOI,10.0
tT-lTxhW7pY,25.0
nranUeNkXpM,23.0
QODABIgXtCM,26.0
nSSXvOidHeg,24.0
mrTNzn4-K3o,26.0
ol_ieWX8SxE,2.0
61SWGdZ2p2M,10.0
tAn7wxn2Atk,24.0
4JGWxG-vE24,24.0
NsGrfU5buKc,24.0
3ATQvgkXT9E,10.0
1Wo6WEBhBBw,25.0
4OiHwMtKwis,10.0
E60w-0q8Y0Y,24.0
hu_4yAZVNsU,24.0
UhSJp34wOeo,1.0
6eB_iBslIfE,22.0
wVy6mbSbbiA,24.0
E7Er4t8PIYw,24.0
lERhNXw6FaQ,1.0
Kx90AspFmEA,26.0
csCCdQLqcVY,24.0
WS7f5xpGYn8,10.0
alRtHXnZMOI,10.0
nuKhpdLgR2U,10.0
FntZKz9fXp8,24.0
5uXsCaakZD8,24.0
0gLsukihjVg,20.0
KB_GCuJwPE4,22.0
xmMxtSwTwwQ,22.0
DrApVH3afMI,22.0
k_JTFUEp7mw,24.0
YgZiM_prrgo,22.0
2-bTbRjqjoE,24.0
oQxKEtoHygY,10.0
zbyu6MOzpLE,10.0
IFE_dep7_zI,26.0
s9EE_r0WRMk,26.0
u_SA2QkZd24,10.0
2dls8iCoQTI,26.0
Lfy5Esue_ls,22.0
sXP6vliZIHI,22.0
l_lblj8Cq0o,10.0
7cql4KuraEo,25.0
XQ0sKCp_NZA,24.0
21jcP-1w4DA,26.0
qZwEZOuSEI8,10.0
ryr75N0nki0,10.0
R8QfoQYUsek,24.0
MFWF9dU5Zc0,24.0
hj44lITeFHk,22.0
XdE5Psqh57I,22.0
ifkRhaEDzzo,24.0
HL1LiSiBPMo,10.0
bVU-MmJZFFA,10.0
8KgiaRPxRnQ,20.0
QRl9IO2ORGE,22.0
yJqsPBWbtjk,24.0
6l9go9X1EbE,25.0
r9C7Grxk4bU,25.0
mBrdEYW0Vno,10.0
yDo3Ketyb3w,10.0
cIQKKzZtWwQ,10.0
2pVHOaT9CZ4,24.0
mdY3XDGtVnk,24.0
UfR5dKcKJvY,23.0
Lu7a7zKbJo0,10.0
FVjXoM4DjTU,22.0
XvondF0gfro,24.0
Ei6AtHXJ9dg,23.0
kn073_61fpc,26.0
RzK4sqmgimk,22.0
w9dOyO1QM5Q,10.0
5zP4yWzb24M,10.0
lojZXnH_978,24.0
yN8Jclaqf0Q,22.0
muYm5x8DyLA,22.0
hU_oxkN9wsw,17.0
PC1iHFQ0zEk,24.0
IpjK885tG2c,24.0
dbMtuJ1tZnc,24.0
oj8JK6c5x3M,24.0
eKHUU2NHP5U,20.0
MnpB1X5VbOQ,24.0
TwUaijHsNF0,22.0
bi1wcqsFoCs,24.0
aeMv9uKpAZg,23.0
5QpnRjXtm1A,22.0
GLZZn7lCtcI,17.0
2rp_8lf-kik,22.0
QwZT7T-TXT0,24.0
I2eSx0sGReM,20.0
12B8DNBoYRA,10.0
zUelEgXDHa8,23.0
Oa9c9JBBGxM,1.0
cMD63TwzB1o,10.0
LwZC54Ubl8w,20.0
NdqLiIaZoeo,10.0
C2-Fm2vpEKA,24.0
E0yPapgxIgo,26.0
HzILu6yyA20,1.0
6F5x2ArbQKU,17.0
aJrCQypP4a0,24.0
dhFM8akm9a4,24.0
p09c0MXDxto,24.0
Pl9oc13p534,24.0
Y_1CaQl0FJs,24.0
3rVFuscWyC8,22.0
wYQcU5VXde8,24.0
BmMuLuG1yW8,24.0
d6awT91VKUw,24.0
Qc9-dHabR2E,24.0
nFmSepfF48o,24.0
18thGW1YjRM,24.0
uaa5x5UwF6Q,10.0
b7K_lbglfI4,10.0
XspEs1x9cPU,25.0
a3Iaia_MYPc,15.0
24-AhdoN_Nk,1.0
s4_d8WWS7z0,24.0
o3Fam8LqZjA,17.0
rMFxV-l3qG0,23.0
Ev9rOA2Yjs0,28.0
GpEuHHMy-Z8,24.0
iwd9apG72IE,23.0
FtB3YSdLQR4,24.0
tiH07VpwSLY,10.0
WAuSHwVwvzk,10.0
X-QSZhh_YWg,27.0
ffHCh6ZCZfo,19.0
WipbEpll-rQ,24.0
8BQqX3bUqtY,10.0
R8QG7nf5IXQ,10.0
KweizHAroUU,24.0
NXNM0dTzHOE,10.0
BjRNY3u3bUw,24.0
V0HCZ4YGqbw,22.0
oyC4lLTOyL8,27.0
VswT01nKLLA,10.0
xG0HmKgwo0c,17.0
Htu3va7yDMg,10.0
zUrDUxh5xS0,27.0
wH-by1ydBTM,10.0
1EC8lBwroOc,10.0
xvaCIbcM2-I,24.0
2pJlpCfueV0,22.0
aMcjxSThD54,25.0
2UmRhLA3Qzk,20.0
900X9fDFLc4,10.0
Y0MjGxKe888,10.0
9Jn8TXoPQTg,24.0
I5uXtODq74w,24.0
lVNt1sUWyDU,10.0
zcJ8BTAGqE0,10.0
QsSxRElRe1I,23.0
V2onC1_QOmU,24.0
4L43VVORo5c,28.0
ty-AFKiiTRA,10.0
KUNX9KK53lA,22.0
sun1x0ANt-Y,15.0
4Ibn7DeBS-Y,24.0
SfUDDMj3NO0,25.0
OM9h-llN4TY,1.0
2kCbFmjEi6A,10.0
idD1C2-ISlo,10.0
Z7-R881j6UY,26.0
1hX1KSKqVmo,20.0
lmb6w5luY_Q,26.0
He-HBXbHT_U,22.0
34yQnVJDTt8,17.0
tTlxjhG7SOI,10.0
0SLu6i6Rm2g,17.0
T_AyI8I4O3U,17.0
ROZgx6HXw2k,1.0
MMjmdNqIrSU,20.0
I7B0z_2EZmQ,23.0
_7985zBEM3o,22.0
q260bjSiyq0,10.0
M4vnmgZLA8s,10.0
MICQb4QW448,27.0
QVoleJYgdM8,24.0
