video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
uNKw_mbf_lc,chriss n fishman n compup mshy pizzq to amaz consigial adams 10 rear do hyland is lifetime,chriss fishman compup mshy pizzq amaz consigial adam rear hyland lifetime,"[""[[21, 52], [56, 65]]"", ""[[15, 68], [55, 83]]"", ""[[56, 70], [90, 80]]"", ""[[232, 69], [270, 85]]"", ""[[14, 85], [42, 94]]"", ""[[238, 92], [264, 106]]"", ""[[54, 94], [97, 106]]"", ""[[20, 95], [51, 107]]"", ""[[54, 109], [74, 117]]"", ""[[216, 224], [256, 247]]"", ""[[21, 245], [105, 262]]""]"
uNpmsp6Cob8,the dodo top five,dodo top five,"[""[[438, 64], [474, 77]]"", ""[[61, 258], [123, 291]]"", ""[[59, 285], [127, 311]]""]"
uP6fkha9TVQ,husting hipsey vl double up,husting hipsey double,"[""[[262, 61], [445, 87]]"", ""[[37, 65], [216, 85]]"", ""[[189, 257], [261, 277]]""]"
uPY75hLtYr4,today,today,"[""[[20, 276], [132, 302]]""]"
uPbzXI22q8k,trabreakeast bokeem woodbine revolt,trabreakeast bokeem woodbine revolt,"[""[[37, 53], [209, 102]]"", ""[[57, 114], [199, 143]]"", ""[[34, 148], [225, 178]]"", ""[[197, 268], [231, 291]]""]"
uPt7OtI3FFw,rpp,rpp,"[""[[6, 268], [70, 308]]""]"
uQZX8rhxrFU,smrishek top 10 topilocaps backyard roller coasters,smrishek top topilocaps backyard roller coaster,"[""[[426, 48], [476, 66]]"", ""[[6, 54], [114, 129]]"", ""[[432, 68], [472, 78]]"", ""[[2, 133], [217, 192]]"", ""[[17, 204], [153, 246]]"", ""[[68, 261], [245, 304]]""]"
uQv1sL-Nbfs,icc staying inbounds,icc stay inbounds,"[""[[60, 45], [82, 53]]"", ""[[14, 60], [226, 102]]"", ""[[12, 122], [260, 164]]""]"
uRJ87fzQ8Qc,double trouble,double trouble,"[""[[97, 133], [261, 176]]"", ""[[70, 173], [253, 216]]""]"
uRY3_Sxv11k,jus have think 47 antarctical melting faster than thought glaciers are we,jus think antarctical melt faster thought glacier,"[""[[32, 216], [74, 229]]"", ""[[20, 229], [92, 265]]"", ""[[106, 276], [178, 294]]"", ""[[244, 275], [292, 295]]"", ""[[290, 276], [328, 294]]"", ""[[373, 276], [422, 294]]"", ""[[177, 277], [226, 294]]""]"
uR_DN-CBygI,cupcake jimma,cupcake jimma,"[""[[385, 60], [477, 90]]"", ""[[386, 85], [477, 118]]""]"
uSsAUZi29Yk,15 i innovation technol,innovation technol,"[""[[260, 278], [481, 309]]"", ""[[4, 280], [182, 312]]""]"
uUxNjBoHxBw,mabrellast revolt fabolous jadakiss interview,mabrellast revolt fabolous jadakiss interview,"[""[[14, 57], [157, 98]]"", ""[[57, 194], [82, 204]]"", ""[[0, 286], [150, 313]]"", ""[[182, 288], [322, 313]]"", ""[[329, 288], [480, 313]]""]"
uWfEWFxzjR8,chris martin cristiano ronaldo tube elen,chris martin cristiano ronaldo tube elen,"[""[[141, 73], [178, 86]]"", ""[[178, 73], [222, 86]]"", ""[[249, 73], [308, 86]]"", ""[[308, 73], [364, 86]]"", ""[[100, 270], [149, 288]]"", ""[[61, 272], [101, 286]]""]"
uXCBj__w0P0,lealacoustic remix,lealacoustic remix,"[""[[84, 62], [133, 72]]"", ""[[133, 62], [161, 72]]""]"
uXILTZvTiPU,lead feet 36 espn sportscience,lead foot espn sportscience,"[""[[280, 133], [351, 164]]"", ""[[329, 154], [420, 198]]"", ""[[52, 197], [102, 212]]"", ""[[24, 210], [125, 224]]""]"
uXYBnJ7BUss,presse iie conference blackkkiansman,presse iie conference blackkkiansman,"[""[[73, 244], [101, 261]]"", ""[[62, 248], [74, 261]]"", ""[[19, 249], [65, 270]]"", ""[[50, 266], [179, 281]]""]"
uYF-3pXDF0g,how marvel redeemed thor,marvel redeem thor,"[""[[29, 117], [92, 144]]"", ""[[25, 149], [253, 188]]"", ""[[26, 199], [215, 255]]""]"
uYJ7V_WEVp4,how well do you know your costarp,well know costarp,"[""[[64, 105], [168, 140]]"", ""[[54, 176], [173, 209]]"", ""[[24, 245], [204, 280]]""]"
uY_3s3FxAs0,nasa kitten rooml,nasa kitten rooml,"[""[[237, 52], [288, 69]]"", ""[[4, 62], [158, 120]]"", ""[[26, 116], [181, 180]]""]"
uYiBWo9WVyE,day the life in a police college the royal nz,day life police college royal,"[""[[106, 170], [185, 213]]"", ""[[344, 170], [436, 212]]"", ""[[239, 213], [326, 242]]"", ""[[330, 213], [433, 241]]"", ""[[112, 214], [190, 241]]""]"
uZpPr3EzN4Y,4t,,[]
u_ApJ0IhDSQ,queen medicine ft aja remix ar and trev mon oferoledceled,queen medicine aja remix trev mon oferoledceled,"[""[[56, 145], [152, 174]]"", ""[[263, 143], [396, 173]]"", ""[[181, 150], [233, 178]]"", ""[[311, 182], [431, 216]]"", ""[[231, 185], [293, 215]]"", ""[[96, 190], [161, 212]]"", ""[[130, 285], [172, 293]]""]"
